name_score,number_features,train,valid
accuracy,1,0.998368965492406,0.9983645692598015
precision,1,1.0,1.0
recall,1,0.05836849507735584,0.05582603050957482
f1,1,0.11021530282721617,0.10524308006852243
roc_auc,1,0.8020523198236467,0.8018473446556712
accuracy,2,0.9989525767987237,0.9989448830536267
precision,2,0.9017067274543976,0.8987919487307492
recall,2,0.4435041189471569,0.4414800389483934
f1,2,0.5942252011387513,0.5909387188641004
roc_auc,2,0.9468792848758023,0.9467372556103575
accuracy,3,0.9993823170649083,0.9993669292910002
precision,3,0.9197433549578162,0.9192264467743824
recall,3,0.7049367088607594,0.697695553391756
f1,3,0.7980105620649722,0.7910708403939761
roc_auc,3,0.9580707200238947,0.9576958507143688
accuracy,4,0.9994900269216508,0.9994856302240951
precision,4,0.9344208894149105,0.9349626059785903
recall,4,0.758878842676311,0.7562479714378448
f1,4,0.8375253584134729,0.8357572319190139
roc_auc,4,0.9552810495071997,0.9544053549796013
accuracy,5,0.9995054140250602,0.9995120079085739
precision,5,0.935121185121185,0.9364621730431535
recall,5,0.7677596945951376,0.771405387861084
f1,5,0.8431742239604162,0.8448449854514151
roc_auc,5,0.9543449339237503,0.9539254752034395
accuracy,6,0.9994977204673157,0.999503215347081
precision,6,0.9347786241886247,0.935942998135453
recall,6,0.7633172593932087,0.7663745537163259
f1,6,0.8403482563284838,0.8418841860119093
roc_auc,6,0.9557853762430893,0.9552098820862103
accuracy,7,0.9994977204612756,0.999503215347081
precision,7,0.9347610200518375,0.9360237141759787
recall,7,0.7633172593932087,0.7663745537163259
f1,7,0.8403423700099252,0.8418328869400673
roc_auc,7,0.9780965473126395,0.9774005537848259
accuracy,8,0.9994966213850492,0.9994944226889494
precision,8,0.9347006795758682,0.935625963020031
recall,8,0.7626863572433192,0.7613112625770854
f1,8,0.8399425081660503,0.8385168065376559
roc_auc,8,0.9790194799515429,0.9782057216289027
accuracy,9,0.9994878287389986,0.9994856299341792
precision,9,0.9342890043950758,0.9351530079116287
recall,9,0.7576110106489853,0.7562155144433625
f1,9,0.8366751528624079,0.8351034808289004
roc_auc,9,0.9794262749426841,0.9782042055660931
accuracy,10,0.9994944232205167,0.9994900264082031
precision,10,0.9346043511485511,0.9353113553113553
recall,10,0.7614145067309624,0.7588120740019474
f1,10,0.8391271117242975,0.8369661279367191
roc_auc,10,0.9784586440884302,0.9776154449254815
accuracy,11,0.999504314936754,0.999498819162973
precision,11,0.9350555500433888,0.9358491742998787
recall,11,0.7671287924452481,0.7638753651411879
f1,11,0.8427532231077752,0.8403805711053346
roc_auc,11,0.9787219079923911,0.9773599909754921
accuracy,12,0.9995142066590311,0.9995076118211046
precision,12,0.9354948066020681,0.9362478505101457
recall,12,0.7728370504319871,0.7689711132749107
f1,12,0.8463898503417612,0.8435707583738902
roc_auc,12,0.9789925618449618,0.977639458445751
accuracy,13,0.9995021167782612,0.9994900263115645
precision,13,0.9349623193101454,0.9325450023789033
recall,13,0.7658549326903757,0.7613437195715677
f1,13,0.8419605194445368,0.8375971954082899
roc_auc,13,0.9792518955414857,0.9786010563454655
accuracy,14,0.9994977204793954,0.9994900264082031
precision,14,0.9347600623891384,0.9351859031448042
recall,14,0.7633232871207555,0.7588120740019474
f1,14,0.840368988500412,0.8371299779352445
roc_auc,14,0.9794749518626364,0.9785953478963286
accuracy,15,0.9995021167661815,0.9994856300308179
precision,15,0.9349028376984325,0.932400956284153
recall,15,0.7658549326903757,0.7588120740019474
f1,15,0.8419303245642473,0.8358959842345964
roc_auc,15,0.978664580253912,0.9769880369840227
accuracy,16,0.999502116790341,0.9994988187764188
precision,16,0.9316220493534638,0.9298731607645543
recall,16,0.76903355435001,0.7689386562804283
f1,16,0.8425117787597003,0.8411692421791832
roc_auc,16,0.9780973518953312,0.976280046686197
accuracy,17,0.9995065131012867,0.9994988188730574
precision,17,0.9344603668084444,0.9304764993378007
recall,17,0.7690315451074945,0.7689386562804283
f1,17,0.8436749057105807,0.8412076299453368
roc_auc,17,0.9775116039559679,0.9754900926260657
accuracy,18,0.9995098103420457,0.9994944225923108
precision,18,0.935278726542992,0.9326091269841269
recall,18,0.7703013863773357,0.7638753651411879
f1,18,0.8447873629868846,0.8391555415786609
roc_auc,18,0.9782206157924165,0.9759928934900657
accuracy,19,0.9995131075646849,0.9995164043825977
precision,19,0.9361368893393809,0.9337386325119175
recall,19,0.7715611814345991,0.7765985069782538
f1,19,0.8458321384955021,0.8475288512685306
roc_auc,19,0.9822635346340093,0.9803622576923665
accuracy,20,0.9995153057352576,0.9995076118211046
precision,20,0.935577616886707,0.9305263586746435
recall,20,0.7734659433393609,0.7740668614086336
f1,20,0.8467721081696885,0.8447371976682321
roc_auc,20,0.9828761839938152,0.9810327158405835
